PTT,count_ptt,start_date,end_date,length_of_track,lat_min,lat_max,lon_min,lon_max,delta_lat,delta_lon,if_with_gps
161291,1254,2018-05-25 20:00:00,2019-05-26 20:00:00,"366 days, 00:00:00",36.119078043495996,38.273066314314214,-75.32257036844881,-74.39745086772713,2.1539882708182176,0.9251195007216779,True
161292,30,2017-05-22 00:00:00,2017-06-24 00:00:00,"33 days, 00:00:00",36.6558893281525,38.95541853045358,-75.33574562244652,-73.58477444965234,2.2995292023010805,1.7509711727941806,False
161295,745,2018-05-25 16:00:00,2018-10-02 20:00:00,"130 days, 04:00:00",37.20578211898688,38.87937047761262,-75.1708923517243,-74.02095445228758,1.6735883586257359,1.149937899436722,True
161296,1822,2018-05-26 04:00:00,2018-10-21 04:00:00,"148 days, 00:00:00",37.53257223453896,38.60408222228178,-74.7914602533047,-74.16371377688846,1.0715099877428216,0.6277464764162488,True
161297,1191,2018-05-27 08:00:00,2018-09-02 00:00:00,"97 days, 16:00:00",37.31474915848453,38.85694466059633,-75.22031047222593,-74.07056686998313,1.5421955021117952,1.1497436022428076,True
161298,489,2018-05-27 00:00:00,2018-07-08 12:00:00,"42 days, 12:00:00",37.38174322999794,38.79863581913536,-75.1816092150458,-74.30341307524874,1.4168925891374258,0.8781961397970548,True
161299,527,2018-05-27 12:00:00,2018-09-25 00:00:00,"120 days, 12:00:00",35.41311372389849,40.541037999918544,-75.32419269450038,-72.12434171963446,5.127924276020053,3.1998509748659245,True
161300,194,2017-05-18 04:00:00,2017-07-15 00:00:00,"57 days, 20:00:00",35.9782680894053,36.90521633223013,-75.32739426259494,-74.98754617324931,0.9269482428248352,0.3398480893456224,True
161301,644,2018-05-25 16:00:00,2018-09-06 12:00:00,"103 days, 20:00:00",36.99233441376838,38.35768255863256,-75.17460845348121,-74.14744154601688,1.3653481448641784,1.0271669074643341,True
161303,379,2018-05-26 00:00:00,2018-07-31 00:00:00,"66 days, 00:00:00",37.11806600396906,38.88685540522665,-75.6211983819801,-73.79078210593491,1.7687894012575853,1.8304162760451845,True
161304,50,2018-05-25 16:00:00,2018-06-28 00:00:00,"33 days, 08:00:00",37.003798761545966,37.53127052291391,-74.97497293534009,-74.67089282139109,0.5274717613679414,0.3040801139489986,True
172179,198,2017-07-13 20:00:00,2017-07-31 00:00:00,"17 days, 04:00:00",39.673972183968,40.15654963488029,-73.38223993944254,-72.41066753738646,0.4825774509122951,0.9715724020560828,True
172188,182,2018-05-25 16:00:00,2018-06-16 00:00:00,"21 days, 08:00:00",37.48291664018672,38.41809796106027,-74.81419186431249,-74.2788096010767,0.9351813208735464,0.535382263235789,True
172191,1159,2017-07-14 04:00:00,2017-10-18 20:00:00,"96 days, 16:00:00",38.73073854375078,40.40453357135088,-73.846787147456,-72.7083002279021,1.6737950276001001,1.1384869195538982,True
175932,842,2019-06-04 04:00:00,2019-08-22 04:00:00,"79 days, 00:00:00",36.03772750347889,37.781593735926954,-75.4336392023953,-74.59391252751381,1.7438662324480632,0.83972667488149,False
175934,684,2019-06-04 12:00:00,2019-10-03 08:00:00,"120 days, 20:00:00",37.55692119838865,42.752069195690325,-74.71896761674627,-72.73234918976694,5.1951479973016745,1.9866184269793337,True
175935,539,2019-06-07 00:00:00,2019-07-23 08:00:00,"46 days, 08:00:00",38.0673008942631,38.71729277289963,-74.65207589944616,-74.00125674451434,0.6499918786365342,0.6508191549318241,True
175936,667,2019-06-06 08:00:00,2019-09-10 00:00:00,"95 days, 16:00:00",38.103203498747504,39.53923679110763,-74.44514884200755,-73.53585353470748,1.436033292360129,0.90929530730007,True
175938,916,2019-06-05 20:00:00,2019-07-25 08:00:00,"49 days, 12:00:00",38.010098109169896,39.785156740650365,-74.70980131335801,-73.41842132793987,1.7750586314804693,1.2913799854181462,True
175939,735,2019-06-06 00:00:00,2019-08-10 16:00:00,"65 days, 16:00:00",28.789014891978873,38.41502368264175,-74.45500181199854,-68.17146957007665,9.62600879066288,6.28353224192189,False
175940,559,2019-06-05 04:00:00,2019-07-19 20:00:00,"44 days, 16:00:00",36.22057253104999,47.95353566117328,-84.73330266114388,-74.68512897996027,11.732963130123288,10.048173681183613,False
