,ref,PTT,END_DATE,MAX_DBAR,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS,CREATED,MODIFIED,N_PHOTO,PHOTO_DBAR,PHOTO_VALS,lat,lon,depth_bottom
0,tu94-H905BATT-12,118905,5/17/2016 20:00,37,0,10,,,"2,6,10,12,18,20,23,27,30,37","12.200,11.749,11.608,10.985,10.962,10.454,10.290,10.447,11.277,11.510",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,,,
1,tu94-H905BATT-12,118905,5/18/2016 0:00,22,0,10,,,"2,5,8,9,10,12,17,18,20,22","11.840,11.555,11.403,11.236,10.974,10.654,10.508,10.424,10.058,9.890",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.87072936,-74.61519537,47.0
2,tu94-H905BATT-12,118905,5/18/2016 12:00,9,0,8,,,"2,3,4,5,6,7,8,9","11.620,11.618,11.617,11.613,11.597,11.597,11.588,11.570",,,,,,,,,,,0,"0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.77403883,-74.59926392,54.0
3,tu94-H905BATT-12,118905,5/18/2016 20:00,11,0,10,,,"2,3,4,5,6,7,8,9,10,11","11.570,11.562,11.561,11.552,11.551,11.546,11.537,11.503,11.480,11.480",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.76810153,-74.65350185,50.0
4,tu94-H905BATT-12,118905,5/19/2016 20:00,17,0,9,,,"2,4,7,9,12,14,15,16,17","12.220,12.198,12.075,11.975,11.731,11.115,10.641,10.439,10.390",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.59663419,-74.73842117,51.0
5,tu94-H905BATT-12,118905,5/20/2016 8:00,7,0,3,,,"2,6,7","12.210,12.210,12.245",,,,,,,,,,,0,"0,0,0",,,7/4/2017,7/4/2017,,,,37.53069957,-74.77495308,53.0
6,tu94-H905BATT-12,118905,5/20/2016 12:00,12,0,8,,,"2,4,6,7,8,9,10,12","12.147,12.160,12.160,12.159,12.149,12.092,12.060,12.060",,,,,,,,,,,0,"0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.51870308,-74.7503854,49.0
7,tu94-H905BATT-12,118905,5/21/2016 12:00,8,0,7,,,"2,3,4,5,6,7,8","13.180,13.180,13.176,13.116,12.931,12.814,12.747",,,,,,,,,,,0,"0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.42774745,-74.88396774,40.0
8,tu94-H905BATT-12,118905,5/21/2016 16:00,5,0,3,,,"2,3,5","13.100,13.092,13.066",,,,,,,,,,,0,"0,0,0",,,7/4/2017,7/4/2017,,,,37.43686524,-74.91451452,41.0
9,tu94-H905BATT-12,118905,5/22/2016 0:00,10,0,9,,,"2,3,4,5,6,7,8,9,10","13.240,13.163,13.118,13.081,13.044,13.013,12.897,12.879,12.850",,,,,,,,,,,0,"0,0,0,0,0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.45665712,-74.94415375,35.0
10,tu94-H905BATT-12,118905,5/22/2016 12:00,9,0,4,,,"2,7,8,9","12.920,12.920,12.903,12.890",,,,,,,,,,,0,"0,0,0,0",,,7/4/2017,7/4/2017,,,,37.34824167,-74.96166853,39.0
11,tu94-H905BATT-12,118905,5/23/2016 4:00,7,0,5,,,"2,3,5,6,7","13.170,13.172,13.178,13.180,13.180",,,,,,,,,,,0,"0,0,0,0,0",,,7/4/2017,7/4/2017,,,,37.20560037,-75.07721737,31.0
12,tu94-H905BATT-12,118905,5/23/2016 16:00,5,0,2,,,"2,5","13.370,13.351",,,,,,,,,,,0,"0,0",,,7/4/2017,7/4/2017,,,,37.0672141,-75.15306846,35.0
13,tu94-H905BATT-12,118905,5/24/2016 8:00,7,0,5,,,"2,3,4,6,7","13.160,13.160,13.180,13.180,13.160",,,,,,,,,,,0,"0,0,0,0,0",,,7/4/2017,7/4/2017,,,,36.91492649,-75.19802608,32.0
